cod_usuario|cod_rol|nombre|apellidos|dni|password|fecha_nacimiento|telefono|correo|direccion|grado_academico
71|4|Gaelan|Start|93998723|$2a$04$iDSwpDUAZWTjeR3NqEFAKuhBcbRPG8m6wHFP409wH3zMI0SHFSxbS|1994-04-22|976708093|gstart1y@biglobe.ne.jp|0824 Village Lane|SECRETARIA
72|1|Lotty|Moyser|76895398|$2a$04$q3yKlEh3EXF7ziE8.Procu7TUysjF2aouJeyDXNKS206YQ7yql882|1996-05-02|976141090|lmoyser1z@qq.com|0 Prairieview Crossing|DIRECTOR
73|1|Dawna|Milburn|23349246|$2a$04$sp9rmcJBPoH26R7c9YVXu.FSxF3NnWVsk.qA5jjuWolO107IleyqS|1987-10-02|993735972|dmilburn20@printfriendly.com|30892 Marcy Junction|PROFESOR
74|1|Meredithe|Heinreich|94422157|$2a$04$JkxaCaxXQ868O9KZTlXaMu45LujpN6fTXbEPt08FSnHmySa0IybAK|1984-11-26|999744512|mheinreich21@behance.net|74 International Avenue|DIRECTOR
75|1|Fiorenze|Cokly|57570470|$2a$04$kIyeqQUyhLEEMs99ZLzLTupklqlCnwCrhSmduMIOS0CfymWcaw8SG|1990-07-28|969874343|fcokly22@slideshare.net|98672 Bowman Crossing|PROFESOR
76|3|Sadella|Stain|82121577|$2a$04$3VIqEw.MmgB0y5lxB0dBzOxtDKuGMXsNcdUZUszysQ0cdN4YV1ZB.|1990-02-12|963433998|sstain23@whitehouse.gov|4 Merry Hill|PROFESOR
77|5|Wrennie|Gianneschi|50138286|$2a$04$SHMaT0ZmnbF.5bwEeeXwi.kpFGg/0ZRSovRseWDZOUEfrT378rjq2|1990-05-27|977040049|wgianneschi24@pinterest.com|489 Hansons Plaza|DIRECTOR
78|4|Cornelius|Vaney|30648862|$2a$04$u/Am6B7w6glMMfj//mZuKuHM.23KuK3TrH8E/Z3lx.hv50TSFFjHK|1985-05-03|958152313|cvaney25@nhs.uk|6 American Alley|DIRECTOR
79|3|Stefa|Chapell|42935899|$2a$04$i85QRDfTGjSmRR61XcIb9eHkBAGmr2T9RC.d1d9Lo6LAX2.QMhV6G|2001-07-31|987222461|schapell26@mayoclinic.com|4850 Scott Trail|SECRETARIA
80|2|Kristoforo|Skuce|76425366|$2a$04$fDGq9K6279d2qrox6X/8YOjZr.ZRm7bczbVWn.KEmm8oMZ8bhlmRG|2001-01-11|933857344|kskuce27@blogtalkradio.com|069 Village Green Terrace|SECRETARIA
81|2|Randene|Forge|21075603|$2a$04$xs7cajDaDMUL8pNZAx.20O79a1ob8puAW9dksKBo0mUZc1Q8cydNW|1988-02-07|988186615|rforge28@opensource.org|4 Hazelcrest Place|SECRETARIA
82|1|Ronnie|Grahamslaw|21912466|$2a$04$rv2tsAE8A58dtiF2VL8IkOrhv11OR7fXRLK4baGRrCAq1trpmjVjK|2002-02-05|953898918|rgrahamslaw29@wufoo.com|643 Muir Junction|BACHILLER
83|1|Trefor|Clipson|94021227|$2a$04$kocZVlKwY03NUQxRmzIrq.qR0zbk8Q4iDEx.qIDmPVuyTWZmmnZsO|1991-01-18|901433014|tclipson2a@si.edu|46 Kropf Pass|BACHILLER
84|3|Waverly|Schwandt|56462482|$2a$04$OaijSfr4Ulwd62LDLR93Fu/u2aw5pH8Jy6inKUPpzcDEhEXLrs9Km|2002-05-09|958649038|wschwandt2b@washington.edu|4 Twin Pines Crossing|PROFESOR
85|2|Emanuele|McKune|10449992|$2a$04$5WvEGrg0UR/aqenxhOShlOuDZQQY8rfPfPqeXUOGrAT582PDzAccm|1989-02-16|975008565|emckune2c@netlog.com|0 South Place|BACHILLER
86|1|Don|Berndsen|42716888|$2a$04$l310nK/aNMjiGRbXjI67Ruh.ctaV5XtskZLL1NCVp8x60YJ3RhZCS|1993-09-20|972955983|dberndsen2d@elegantthemes.com|0 Mayfield Street|PROFESOR
87|4|Brooks|Asch|5739908|$2a$04$rzkRBAh0oLdSgtXFWMFCxuUPu5CtaLACxd4tie1Pl9CNlS1V3gx0G|1984-09-23|985161796|basch2e@studiopress.com|6 Huxley Plaza|SECRETARIA
88|3|Tabor|Sainter|14261630|$2a$04$vnXVkN8NtALnvYVirxdnrOS/UEbkLE27EaLXYa3mNMzrboelwXN/C|1997-01-04|957251791|tsainter2f@vimeo.com|88602 Barnett Hill|PROFESOR
89|4|Therese|Mungin|1619368|$2a$04$a14bCylxY/DC.jguoHP4xeUj1z98wq9CoO84i9FJRI4Gr9FnMPD6C|1989-03-24|945246556|tmungin2g@ycombinator.com|6 Doe Crossing Avenue|BACHILLER
90|5|Noel|MacCague|86263055|$2a$04$cTFfVL2iMtEOA9MMsK55i.JUhirNXs65qBuKm3V6BVuLbxYPYpqhq|1993-11-15|984158969|nmaccague2h@howstuffworks.com|0 Magdeline Road|PROFESOR
91|4|Tandie|Durker|38386880|$2a$04$zr3zGjNC1T6kx72WNFBT/ORo67rZ50bBv6Sf.s6km9OHbQAkBqlR2|2001-05-18|931859472|tdurker2i@va.gov|5 Browning Court|PROFESOR
92|3|Janos|Liepins|73893580|$2a$04$fAB.uqE57EIkt.XeDIJVgOewak.URy1J.ByPrQgJCdLws8aCSPv0S|2003-07-30|948446775|jliepins2j@angelfire.com|20904 Summer Ridge Pass|DIRECTOR
93|1|Alayne|Crockley|50725499|$2a$04$9A3hVw8/1Ur9MPpqcg5FDuwdO5JeozRtd2F3U40WUHlmKjoCTRkfq|1995-02-17|936327673|acrockley2k@miibeian.gov.cn|32 Merry Lane|BACHILLER
94|5|Van|Aharoni|61550468|$2a$04$tsaFy.3Ut3qFpmy6Mjgoze9SGLBFQ7qvtq.1AjK6xJZIiD9N.GA0G|1985-03-25|988923522|vaharoni2l@wix.com|4 Bowman Park|SECRETARIA
95|3|Joey|Sanper|65223596|$2a$04$Ep/R7yMVg6mnOih0QBVlE.C.4ZsYdzJpJwxDROsXuAUQxP0kXd3i6|1998-07-08|987557483|jsanper2m@merriam-webster.com|6174 Browning Parkway|BACHILLER
96|1|Benyamin|Owthwaite|82972879|$2a$04$92dap3CUQ2mj7BK1vqz2YOFHTbZYKMlfniIBSvcnxOmmqTI8cshj.|1995-02-28|969674200|bowthwaite2n@xinhuanet.com|63685 Waxwing Plaza|DIRECTOR
97|2|Bibbie|Bodker|59133445|$2a$04$TvVLnbMUiW/AI0OAjfg3puf5IiYtwAxSHzyiPabllo6T4c.9BMYOW|1985-07-16|919967805|bbodker2o@smh.com.au|4 Banding Lane|PROFESOR
98|3|Sharleen|Corry|61512018|$2a$04$SAUnSyUU0g5zUynEkY.lfu2Zv7U4SxE5Jk3/pKRbYKuKawREJ.GyO|1987-05-24|964140676|scorry2p@nature.com|754 Texas Way|SECRETARIA
99|3|Kienan|Remon|66457669|$2a$04$x3vKlFZ4zqPEW79QHNeL4OMDy9lPzXYV70pd9M0luyxe.K4Cu/wny|1985-11-20|964078012|kremon2q@themeforest.net|569 Lukken Terrace|DIRECTOR
100|2|Leelah|Castelli|1334426|$2a$04$T/4gmCAE8P2ds/cMZt2BUOGkjS3LZtQF428AJJi4ZkkO6t22H3tQi|1999-04-22|977433353|lcastelli2r@ask.com|03735 Namekagon Pass|BACHILLER
101|3|Layla|Fransson|12820216|$2a$04$E7kDNA2bsSMyAn.iRycRauL9HEmPKReVGP3SfAELp8kbL05iizyPe|1996-11-18|906809143|lfransson2s@redcross.org|73922 Maywood Street|PROFESOR
102|3|Perkin|Speere|77387070|$2a$04$x.w2ZexgkWGSSZqMsVit1OWGHMpxmz9EDmRdQQ6opKgVC60xD1Zwy|1995-08-01|992295272|pspeere2t@sciencedaily.com|07 Declaration Court|PROFESOR
103|3|Zak|Cawood|44425969|$2a$04$zewLhyu8ChqGWbSwTUkhsO.ArNJN0Q6ad4l5fOyKW0fLD5I35FfDW|2000-03-20|950777829|zcawood2u@patch.com|9 Fairfield Avenue|PROFESOR
104|5|Lanni|Giacopazzi|49827128|$2a$04$29ox32mkSYfxThOFxZKene0rWinEZnub4bi543lg4D5YAfTKU1Hym|1986-08-24|984624473|lgiacopazzi2v@craigslist.org|7 Ronald Regan Junction|DIRECTOR
105|5|Marj|Corney|39682838|$2a$04$vzloLh2tz9TM2f/o0KLaheI1gUz2CucEZWb.TU68RpVxBPdspnx5i|1986-12-06|991733372|mcorney2w@youtube.com|17223 Katie Circle|BACHILLER
106|5|Meara|Skyrme|44760051|$2a$04$8mjAgXjzcsz2E.8UYEvuMOzKbayqS5DXo0zgA5peoqCV/2kbcp1fa|2003-10-15|992739131|mskyrme2x@gravatar.com|30 Dunning Alley|DIRECTOR
107|2|Katie|Dwyr|82419933|$2a$04$NZZ2FwFy0.nodsdL9Xc0NerDRcTegdyq7Ti0kc2SDw64c0z5tvjCC|1989-02-03|908960849|kdwyr2y@paginegialle.it|308 Rutledge Avenue|PROFESOR
108|5|Eustace|Brayne|10556722|$2a$04$WduuZBV1T1zj3XFyFpeJMeC5ozNHYXkE52nujpR9bi5gNnpL2WpBu|2002-09-06|941451107|ebrayne2z@mac.com|422 Leroy Court|SECRETARIA
109|4|Korey|Carlos|65076993|$2a$04$KpKSTtfEoD3fFWpz78FaI.zrsz7pulWDMUoN2car2Muvs5rkNKXc2|2001-08-11|965204080|kcarlos30@dion.ne.jp|06898 Stoughton Alley|PROFESOR
110|3|Agata|Mohammad|48956874|$2a$04$Ddg/5KmP6CNUR3lxiFULW.Cvi8HWXjTQEOaejvG7BXaeIUDa6.KBq|1997-04-13|961225655|amohammad31@wp.com|3377 Eliot Circle|PROFESOR
111|2|Bax|Avery|16549304|$2a$04$cfo.phTnrVjLItaSNGpue.dYhVbAbPTMcXf8WhRLWY34GTKxxu8pW|2001-04-05|918806265|bavery32@spotify.com|20847 Bayside Park|DIRECTOR
112|4|Erma|Kyttor|80100994|$2a$04$3vj673HunNwKgosmoo7lcO9MCTXgI0autz7kynRy7yYqTKte2RUoK|1997-03-22|988155068|ekyttor33@vimeo.com|8611 Montana Road|DIRECTOR
113|1|Annabell|Gaunt|41931745|$2a$04$sj37O3DuXwzGdP6NOl7zvOi3Cwr0vEUQyyHtNdd8YwPcd6DXP7Md6|1995-09-04|976796954|agaunt34@admin.ch|773 Melvin Drive|PROFESOR
114|1|Ailyn|Dressel|9257022|$2a$04$Nj4R7sMAPgr6WGM0kuUbBOFDtPuK9X1sCgiFrB0sjzChhJUOUKM9.|2003-08-11|902716706|adressel35@ovh.net|2541 Montana Hill|PROFESOR
115|2|Willard|Vosse|48923001|$2a$04$9GFasmS9.DAXxmpbTZgv4ugw40tzsaH3t24vrBB6Eq8//D0s6JoEO|1998-11-06|916908927|wvosse36@php.net|9 Ridgeway Avenue|PROFESOR
116|3|Basil|Syne|5382022|$2a$04$aX96P9gSWq37QQuZCxlrd.IwflJCUu2ugP7mSZGxZs4LyZeHqPa6q|2003-10-07|986044441|bsyne37@foxnews.com|3 Harper Court|BACHILLER
117|1|Carroll|Belhome|27751154|$2a$04$8cpcRSuleLm4Vwy4myMvzuw67j5K4Gis1zq6MTWaxU6/NuMZX0KDa|1992-10-16|907166920|cbelhome38@amazon.co.uk|61 Corscot Terrace|SECRETARIA
